Age,SibSp,Parch,Fare,Sex,Embarked,Pclass
22.0,1,0,7.25,male,S,3
38.0,1,0,71.2833,female,C,1
26.0,0,0,7.925,female,S,3
35.0,1,0,53.1,female,S,1
35.0,0,0,8.05,male,S,3
54.0,0,0,51.8625,male,S,1
2.0,3,1,21.075,male,S,3
27.0,0,2,11.1333,female,S,3
14.0,1,0,30.0708,female,C,2
4.0,1,1,16.7,female,S,3
58.0,0,0,26.55,female,S,1
20.0,0,0,8.05,male,S,3
39.0,1,5,31.275,male,S,3
14.0,0,0,7.8542,female,S,3
55.0,0,0,16.0,female,S,2
2.0,4,1,29.125,male,Q,3
31.0,1,0,18.0,female,S,3
35.0,0,0,26.0,male,S,2
34.0,0,0,13.0,male,S,2
15.0,0,0,8.0292,female,Q,3
28.0,0,0,35.5,male,S,1
8.0,3,1,21.075,female,S,3
38.0,1,5,31.3875,female,S,3
19.0,3,2,263.0,male,S,1
40.0,0,0,27.7208,male,C,1
66.0,0,0,10.5,male,S,2
28.0,1,0,82.1708,male,C,1
42.0,1,0,52.0,male,S,1
21.0,0,0,8.05,male,S,3
18.0,2,0,18.0,female,S,3
14.0,1,0,11.2417,female,C,3
40.0,1,0,9.475,female,S,3
27.0,1,0,21.0,female,S,2
3.0,1,2,41.5792,female,C,2
19.0,0,0,7.8792,female,Q,3
18.0,1,0,17.8,female,S,3
7.0,4,1,39.6875,male,S,3
21.0,0,0,7.8,male,S,3
49.0,1,0,76.7292,female,C,1
29.0,1,0,26.0,female,S,2
65.0,0,1,61.9792,male,C,1
21.0,0,0,10.5,female,S,2
28.5,0,0,7.2292,male,C,3
5.0,1,2,27.75,female,S,2
11.0,5,2,46.9,male,S,3
22.0,0,0,7.2292,male,C,3
45.0,1,0,83.475,male,S,1
4.0,3,2,27.9,male,S,3
29.0,0,0,10.5,female,S,2
19.0,0,0,8.1583,male,S,3
17.0,4,2,7.925,female,S,3
26.0,2,0,8.6625,male,S,3
32.0,0,0,10.5,male,S,2
16.0,5,2,46.9,female,S,3
21.0,0,0,73.5,male,S,2
26.0,1,0,14.4542,male,C,3
32.0,0,0,56.4958,male,S,3
25.0,0,0,7.65,male,S,3
0.83,0,2,29.0,male,S,2
30.0,0,0,12.475,female,S,3
22.0,0,0,9.0,male,S,3
29.0,0,0,9.5,male,S,3
28.0,0,0,47.1,male,S,1
17.0,0,0,10.5,female,S,2
33.0,3,0,15.85,female,S,3
16.0,1,3,34.375,male,S,3
23.0,3,2,263.0,female,S,1
24.0,0,0,8.05,male,S,3
29.0,0,0,8.05,male,S,3
20.0,0,0,7.8542,male,S,3
46.0,1,0,61.175,male,S,1
26.0,1,2,20.575,male,S,3
59.0,0,0,7.25,male,S,3
71.0,0,0,34.6542,male,C,1
23.0,0,1,63.3583,male,C,1
34.0,0,1,23.0,female,S,2
34.0,1,0,26.0,male,S,2
28.0,0,0,7.8958,female,S,3
21.0,0,1,77.2875,male,S,1
33.0,0,0,8.6542,male,S,3
37.0,2,0,7.925,male,S,3
28.0,0,0,7.8958,male,S,3
21.0,0,0,7.65,female,S,3
38.0,0,0,7.8958,male,S,3
47.0,0,0,52.0,male,S,1
14.5,1,0,14.4542,female,C,3
22.0,0,0,8.05,male,S,3
20.0,1,0,9.825,female,S,3
17.0,0,0,14.4583,female,C,3
21.0,0,0,7.925,male,S,3
70.5,0,0,7.75,male,Q,3
29.0,1,0,21.0,male,S,2
24.0,0,1,247.5208,male,C,1
2.0,4,2,31.275,female,S,3
21.0,2,0,73.5,male,S,2
32.5,1,0,30.0708,male,C,2
32.5,0,0,13.0,female,S,2
54.0,0,1,77.2875,male,S,1
12.0,1,0,11.2417,male,C,3
24.0,0,0,7.1417,male,S,3
45.0,0,0,6.975,male,S,3
33.0,0,0,7.8958,male,C,3
20.0,0,0,7.05,male,S,3
47.0,1,0,14.5,female,S,3
29.0,1,0,26.0,female,S,2
25.0,0,0,13.0,male,S,2
23.0,0,0,15.0458,male,C,2
19.0,0,2,26.2833,female,S,1
37.0,1,0,53.1,male,S,1
16.0,0,0,9.2167,male,S,3
24.0,0,0,79.2,male,C,1
22.0,0,0,7.75,female,S,3
24.0,1,0,15.85,female,S,3
19.0,0,0,6.75,male,Q,3
18.0,0,0,11.5,male,S,2
19.0,1,1,36.75,male,S,2
27.0,0,0,7.7958,male,S,3
9.0,2,2,34.375,female,S,3
36.5,0,2,26.0,male,S,2
42.0,0,0,13.0,male,S,2
51.0,0,0,12.525,male,S,2
22.0,1,0,66.6,female,S,1
55.5,0,0,8.05,male,S,3
40.5,0,2,14.5,male,S,3
51.0,0,1,61.3792,male,C,1
16.0,0,0,7.7333,female,Q,3
30.0,0,0,8.05,male,S,3
44.0,0,1,16.1,male,S,3
40.0,0,0,15.75,female,S,2
26.0,0,0,7.775,male,S,3
17.0,0,0,8.6625,male,S,3
1.0,4,1,39.6875,male,S,3
9.0,0,2,20.525,male,S,3
45.0,1,4,27.9,female,S,3
28.0,0,0,56.4958,male,S,3
61.0,0,0,33.5,male,S,1
4.0,4,1,29.125,male,Q,3
1.0,1,1,11.1333,female,S,3
21.0,0,0,7.925,male,S,3
56.0,0,0,30.6958,male,C,1
18.0,1,1,7.8542,male,S,3
50.0,0,0,28.7125,female,C,1
30.0,0,0,13.0,male,S,2
36.0,0,0,0.0,male,S,3
9.0,4,2,31.3875,male,S,3
1.0,2,1,39.0,male,S,2
4.0,0,2,22.025,female,S,3
45.0,0,0,26.55,male,S,1
40.0,1,1,15.5,male,Q,3
36.0,0,0,7.8958,male,S,3
32.0,0,0,13.0,female,S,2
19.0,0,0,13.0,male,S,2
19.0,1,0,7.8542,female,S,3
3.0,1,1,26.0,male,S,2
44.0,0,0,27.7208,female,C,1
58.0,0,0,146.5208,female,C,1
42.0,0,1,8.4042,male,S,3
24.0,0,0,13.0,female,S,2
28.0,0,0,9.5,male,S,3
34.0,0,0,6.4958,male,S,3
45.5,0,0,7.225,male,C,3
18.0,0,0,8.05,male,S,3
2.0,0,1,10.4625,female,S,3
32.0,1,0,15.85,male,S,3
26.0,0,0,18.7875,male,C,3
16.0,0,0,7.75,female,Q,3
40.0,0,0,31.0,male,C,1
24.0,0,0,7.05,male,S,3
35.0,0,0,21.0,female,S,2
22.0,0,0,7.25,male,S,3
30.0,0,0,13.0,male,S,2
31.0,1,0,113.275,female,C,1
27.0,0,0,7.925,female,S,3
42.0,1,0,27.0,male,S,2
32.0,0,0,76.2917,female,C,1
30.0,0,0,10.5,male,S,2
16.0,0,0,8.05,male,S,3
27.0,0,0,13.0,male,S,2
51.0,0,0,8.05,male,S,3
38.0,1,0,90.0,male,S,1
22.0,0,0,9.35,male,S,3
19.0,0,0,10.5,male,S,2
20.5,0,0,7.25,male,S,3
18.0,0,0,13.0,male,S,2
35.0,1,0,83.475,female,S,1
29.0,0,0,7.775,male,S,3
59.0,0,0,13.5,male,S,2
5.0,4,2,31.3875,female,S,3
24.0,0,0,10.5,male,S,2
44.0,1,0,26.0,male,S,2
8.0,0,2,26.25,female,S,2
19.0,0,0,10.5,male,S,2
33.0,0,0,12.275,male,S,2
29.0,0,0,10.5,male,S,2
22.0,0,0,7.125,male,S,3
30.0,0,0,7.225,male,C,3
44.0,2,0,90.0,male,Q,1
25.0,0,0,7.775,female,S,3
24.0,0,2,14.5,female,S,2
37.0,1,1,52.5542,male,S,1
54.0,1,0,26.0,male,S,2
29.0,1,1,10.4625,female,S,3
62.0,0,0,26.55,male,S,1
30.0,1,0,16.1,male,S,3
41.0,0,2,20.2125,female,S,3
29.0,0,2,15.2458,female,C,3
30.0,0,0,86.5,female,S,1
35.0,0,0,512.3292,female,C,1
50.0,0,1,26.0,female,S,2
3.0,4,2,31.3875,male,S,3
52.0,1,1,79.65,male,S,1
40.0,0,0,0.0,male,S,1
36.0,0,0,10.5,male,S,2
16.0,4,1,39.6875,male,S,3
25.0,1,0,7.775,male,S,3
58.0,0,1,153.4625,female,S,1
35.0,0,0,135.6333,female,S,1
25.0,0,0,0.0,male,S,3
41.0,0,1,19.5,female,S,2
37.0,0,1,29.7,male,C,1
63.0,1,0,77.9583,female,S,1
45.0,0,0,7.75,female,S,3
7.0,4,1,29.125,male,Q,3
35.0,1,1,20.25,female,S,3
65.0,0,0,7.75,male,Q,3
28.0,0,0,7.8542,male,S,3
16.0,0,0,9.5,male,S,3
19.0,0,0,8.05,male,S,3
33.0,0,0,8.6625,male,C,3
30.0,0,0,9.5,male,S,3
22.0,0,0,7.8958,male,S,3
42.0,0,0,13.0,male,S,2
22.0,0,0,7.75,female,Q,3
26.0,0,0,78.85,female,S,1
19.0,1,0,91.0792,female,C,1
36.0,0,0,12.875,male,C,2
24.0,0,0,8.85,female,S,3
24.0,0,0,7.8958,male,S,3
23.5,0,0,7.2292,male,C,3
2.0,1,2,151.55,female,S,1
50.0,0,1,247.5208,female,C,1
19.0,0,0,0.0,male,S,3
0.92,1,2,151.55,male,S,1
17.0,1,0,108.9,female,C,1
30.0,1,0,24.0,male,C,2
30.0,0,0,56.9292,female,C,1
24.0,0,0,83.1583,female,C,1
18.0,2,2,262.375,female,C,1
26.0,1,1,26.0,female,S,2
28.0,0,0,7.8958,male,S,3
43.0,1,1,26.25,male,S,2
26.0,0,0,7.8542,female,S,3
24.0,1,0,26.0,female,S,2
54.0,0,0,14.0,male,S,2
31.0,0,2,164.8667,female,S,1
40.0,1,1,134.5,female,C,1
22.0,0,0,7.25,male,S,3
27.0,0,0,7.8958,male,S,3
30.0,0,0,12.35,female,Q,2
22.0,1,1,29.0,female,S,2
36.0,0,0,135.6333,female,C,1
61.0,0,0,6.2375,male,S,3
36.0,0,0,13.0,female,S,2
31.0,1,1,20.525,female,S,3
16.0,0,1,57.9792,female,C,1
45.5,0,0,28.5,male,S,1
38.0,0,1,153.4625,male,S,1
16.0,2,0,18.0,male,S,3
29.0,1,0,66.6,male,S,1
41.0,0,0,134.5,female,C,1
45.0,0,0,8.05,male,S,3
45.0,0,0,35.5,male,S,1
2.0,1,1,26.0,male,S,2
24.0,3,2,263.0,female,S,1
28.0,0,0,13.0,male,S,2
25.0,0,0,13.0,male,S,2
36.0,0,0,13.0,male,S,2
24.0,0,0,13.0,female,S,2
40.0,0,0,13.0,female,S,2
3.0,1,1,15.9,male,S,3
42.0,0,0,8.6625,male,S,3
23.0,0,0,9.225,male,S,3
15.0,1,1,7.2292,male,C,3
25.0,1,0,17.8,male,S,3
28.0,0,0,9.5,male,S,3
22.0,0,1,55.0,female,S,1
38.0,0,0,13.0,female,S,2
40.0,1,4,27.9,male,S,3
29.0,1,0,27.7208,male,C,2
45.0,0,1,14.4542,female,C,3
35.0,0,0,7.05,male,S,3
30.0,0,0,7.25,male,S,3
60.0,1,0,75.25,female,C,1
24.0,0,0,69.3,female,C,1
25.0,1,0,55.4417,male,C,1
18.0,1,0,6.4958,male,S,3
19.0,0,0,8.05,male,S,3
22.0,0,0,135.6333,male,C,1
3.0,3,1,21.075,female,S,3
22.0,0,0,7.25,female,S,3
27.0,0,2,211.5,male,C,1
20.0,0,0,4.0125,male,C,3
19.0,0,0,7.775,male,S,3
42.0,0,0,227.525,female,C,1
1.0,0,2,15.7417,female,C,3
32.0,0,0,7.925,male,S,3
35.0,1,0,52.0,female,S,1
18.0,0,0,73.5,male,S,2
1.0,5,2,46.9,male,S,3
36.0,0,0,13.0,female,S,2
17.0,0,0,12.0,female,C,2
36.0,1,2,120.0,male,S,1
21.0,0,0,7.7958,male,S,3
28.0,2,0,7.925,male,S,3
23.0,1,0,113.275,female,C,1
24.0,0,2,16.7,female,S,3
22.0,0,0,7.7958,male,S,3
31.0,0,0,7.8542,female,S,3
46.0,0,0,26.0,male,S,2
23.0,0,0,10.5,male,S,2
28.0,0,0,12.65,female,S,2
39.0,0,0,7.925,male,S,3
26.0,0,0,8.05,male,S,3
21.0,1,0,9.825,female,S,3
28.0,1,0,15.85,male,S,3
20.0,0,0,8.6625,female,S,3
34.0,1,0,21.0,male,S,2
51.0,0,0,7.75,male,S,3
3.0,1,1,18.75,male,S,2
21.0,0,0,7.775,male,S,3
33.0,1,0,90.0,female,Q,1
44.0,0,0,7.925,male,S,3
34.0,1,1,32.5,female,S,2
18.0,0,2,13.0,female,S,2
30.0,0,0,13.0,male,S,2
10.0,0,2,24.15,female,S,3
21.0,0,0,7.7333,male,Q,3
29.0,0,0,7.875,male,S,3
28.0,1,1,14.4,female,S,3
18.0,1,1,20.2125,male,S,3
28.0,1,0,26.0,female,S,2
19.0,0,0,26.0,female,S,2
32.0,0,0,8.05,male,S,3
28.0,0,0,26.55,male,S,1
42.0,1,0,26.0,female,S,2
17.0,0,0,7.125,male,S,3
50.0,1,0,55.9,male,S,1
14.0,1,2,120.0,female,S,1
21.0,2,2,34.375,female,S,3
24.0,2,3,18.75,female,S,2
64.0,1,4,263.0,male,S,1
31.0,0,0,10.5,male,S,2
45.0,1,1,26.25,female,S,2
20.0,0,0,9.5,male,S,3
25.0,1,0,7.775,male,S,3
28.0,0,0,13.0,female,S,2
4.0,0,2,81.8583,male,S,1
13.0,0,1,19.5,female,S,2
34.0,0,0,26.55,male,S,1
5.0,2,1,19.2583,female,C,3
52.0,0,0,30.5,male,S,1
36.0,1,2,27.75,male,S,2
30.0,0,0,27.75,male,C,1
49.0,1,0,89.1042,male,C,1
29.0,0,0,7.8958,male,C,3
65.0,0,0,26.55,male,S,1
50.0,0,0,10.5,female,S,2
48.0,0,0,26.55,male,S,1
34.0,0,0,8.05,male,S,3
47.0,0,0,38.5,male,S,1
48.0,0,0,13.0,male,S,2
38.0,0,0,7.05,male,S,3
56.0,0,0,26.55,male,S,1
0.75,2,1,19.2583,female,C,3
38.0,0,0,8.6625,male,S,3
33.0,1,2,27.75,female,S,2
23.0,0,0,13.7917,female,C,2
22.0,0,0,9.8375,female,S,3
34.0,1,0,21.0,male,S,2
29.0,1,0,7.0458,male,S,3
22.0,0,0,7.5208,male,S,3
2.0,0,1,12.2875,female,S,3
9.0,5,2,46.9,male,S,3
50.0,0,0,8.05,male,S,3
63.0,0,0,9.5875,female,S,3
25.0,1,0,91.0792,male,C,1
35.0,1,0,90.0,female,S,1
58.0,0,0,29.7,male,C,1
30.0,0,0,8.05,male,S,3
9.0,1,1,15.9,male,S,3
21.0,0,0,7.25,male,S,3
55.0,0,0,30.5,male,S,1
71.0,0,0,49.5042,male,C,1
21.0,0,0,8.05,male,S,3
54.0,1,0,78.2667,female,C,1
25.0,1,2,151.55,female,S,1
24.0,0,0,7.7958,male,S,3
17.0,0,0,8.6625,male,S,3
21.0,0,0,7.75,female,Q,3
37.0,0,0,9.5875,female,S,3
16.0,0,0,86.5,female,S,1
18.0,1,0,108.9,male,C,1
33.0,0,2,26.0,female,S,2
28.0,0,0,22.525,male,S,3
26.0,0,0,56.4958,male,S,3
29.0,0,0,7.75,male,Q,3
36.0,0,0,26.2875,male,S,1
54.0,1,0,59.4,female,C,1
24.0,0,0,7.4958,male,S,3
47.0,0,0,34.0208,male,S,1
34.0,0,0,10.5,female,S,2
36.0,1,0,26.0,female,S,2
32.0,0,0,7.8958,male,S,3
30.0,0,0,93.5,female,S,1
22.0,0,0,7.8958,male,S,3
44.0,0,1,57.9792,female,C,1
40.5,0,0,7.75,male,Q,3
50.0,0,0,10.5,female,S,2
39.0,0,0,7.925,male,S,3
23.0,2,1,11.5,male,S,2
2.0,1,1,26.0,female,S,2
17.0,1,1,7.2292,male,C,3
30.0,0,0,8.6625,female,S,3
7.0,0,2,26.25,female,S,2
45.0,0,0,26.55,male,S,1
30.0,0,0,106.425,female,C,1
22.0,0,2,49.5,female,C,1
36.0,0,2,71.0,female,S,1
9.0,4,2,31.275,female,S,3
11.0,4,2,31.275,female,S,3
32.0,1,0,26.0,male,S,2
50.0,1,0,106.425,male,C,1
64.0,0,0,26.0,male,S,1
19.0,1,0,26.0,female,S,2
33.0,1,1,20.525,male,S,3
8.0,1,1,36.75,male,S,2
17.0,0,2,110.8833,male,C,1
27.0,0,0,26.0,male,S,2
22.0,0,0,7.225,male,C,3
22.0,0,0,7.775,female,S,3
62.0,0,0,26.55,male,S,1
48.0,1,0,39.6,female,C,1
39.0,1,1,79.65,female,S,1
36.0,1,0,17.4,female,S,3
40.0,0,0,7.8958,male,S,3
28.0,0,0,13.5,male,S,2
24.0,2,0,24.15,male,S,3
19.0,0,0,7.8958,male,S,3
29.0,0,4,21.075,female,S,3
32.0,0,0,7.8542,male,S,3
62.0,0,0,10.5,male,S,2
53.0,2,0,51.4792,female,S,1
36.0,0,0,26.3875,male,S,1
16.0,0,0,8.05,male,S,3
19.0,0,0,14.5,male,S,3
34.0,0,0,13.0,female,S,2
39.0,1,0,55.9,female,S,1
32.0,0,0,7.925,male,S,3
25.0,1,1,30.0,female,S,2
39.0,1,1,110.8833,female,C,1
54.0,0,0,26.0,male,S,2
36.0,0,0,40.125,male,C,1
18.0,0,2,79.65,female,S,1
47.0,0,0,15.0,male,S,2
60.0,1,1,79.2,male,C,1
22.0,0,0,8.05,male,S,3
35.0,0,0,7.125,male,S,3
52.0,1,0,78.2667,female,C,1
47.0,0,0,7.25,male,S,3
37.0,1,0,26.0,male,S,2
36.0,1,1,24.15,male,S,3
49.0,0,0,0.0,male,S,3
49.0,1,0,56.9292,male,C,1
24.0,2,1,27.0,female,S,2
44.0,0,0,8.05,male,S,3
35.0,0,0,26.55,male,C,1
36.0,1,0,15.55,male,S,3
30.0,0,0,7.8958,male,S,3
27.0,0,0,30.5,male,S,1
22.0,1,2,41.5792,female,C,2
40.0,0,0,153.4625,female,S,1
39.0,1,5,31.275,female,S,3
35.0,0,0,8.05,male,S,3
24.0,1,2,65.0,female,S,2
34.0,1,1,14.4,male,S,3
26.0,1,0,16.1,female,S,3
4.0,2,1,39.0,female,S,2
26.0,0,0,10.5,male,S,2
27.0,1,0,14.4542,male,C,3
42.0,1,0,52.5542,male,S,1
20.0,1,1,15.7417,male,C,3
21.0,0,0,7.8542,male,S,3
21.0,0,0,16.1,male,S,3
61.0,0,0,32.3208,male,S,1
57.0,0,0,12.35,male,Q,2
21.0,0,0,77.9583,female,S,1
26.0,0,0,7.8958,male,S,3
80.0,0,0,30.0,male,S,1
51.0,0,0,7.0542,male,S,3
32.0,0,0,30.5,male,C,1
9.0,3,2,27.9,female,S,3
28.0,0,0,13.0,female,S,2
32.0,0,0,7.925,male,S,3
31.0,1,1,26.25,male,S,2
41.0,0,5,39.6875,female,S,3
20.0,0,0,7.8542,male,S,3
24.0,0,0,69.3,female,C,1
2.0,3,2,27.9,female,S,3
0.75,2,1,19.2583,female,C,3
48.0,1,0,76.7292,male,C,1
19.0,0,0,7.8958,male,S,3
56.0,0,0,35.5,male,C,1
23.0,0,0,7.55,female,S,3
18.0,0,1,23.0,female,S,2
21.0,0,0,8.4333,male,S,3
18.0,0,0,6.75,female,Q,3
24.0,2,0,73.5,male,S,2
32.0,1,1,15.5,female,Q,3
23.0,0,0,13.0,male,S,2
58.0,0,2,113.275,male,C,1
50.0,2,0,133.65,male,S,1
40.0,0,0,7.225,male,C,3
47.0,0,0,25.5875,male,S,1
36.0,0,0,7.4958,male,S,3
20.0,1,0,7.925,male,S,3
32.0,2,0,73.5,male,S,2
25.0,0,0,13.0,male,S,2
43.0,0,0,8.05,male,S,3
40.0,1,1,39.0,female,S,2
31.0,1,0,52.0,male,S,1
70.0,0,0,10.5,male,S,2
31.0,0,0,13.0,male,S,2
18.0,0,0,7.775,male,S,3
24.5,0,0,8.05,male,S,3
18.0,0,0,9.8417,female,S,3
43.0,1,6,46.9,female,S,3
36.0,0,1,512.3292,male,C,1
27.0,0,0,76.7292,male,C,1
20.0,0,0,9.225,male,S,3
14.0,5,2,46.9,male,S,3
60.0,1,1,39.0,male,S,2
25.0,1,2,41.5792,male,C,2
14.0,4,1,39.6875,male,S,3
19.0,0,0,10.1708,male,S,3
18.0,0,0,7.7958,male,S,3
15.0,0,1,211.3375,female,S,1
31.0,1,0,57.0,male,S,1
4.0,0,1,13.4167,female,C,3
25.0,0,0,7.225,male,C,3
60.0,0,0,26.55,male,S,1
52.0,0,0,13.5,male,S,2
44.0,0,0,8.05,male,S,3
49.0,1,1,110.8833,male,C,1
42.0,0,0,7.65,male,S,3
18.0,1,0,227.525,female,C,1
35.0,0,0,26.2875,male,S,1
18.0,0,1,14.4542,female,C,3
25.0,0,0,7.7417,male,Q,3
26.0,1,0,7.8542,male,S,3
39.0,0,0,26.0,male,S,2
45.0,0,0,13.5,female,S,2
42.0,0,0,26.2875,male,S,1
22.0,0,0,151.55,female,S,1
24.0,0,0,49.5042,female,C,1
48.0,1,0,52.0,male,S,1
29.0,0,0,9.4833,male,S,3
52.0,0,0,13.0,male,S,2
19.0,0,0,7.65,male,S,3
38.0,0,0,227.525,female,C,1
27.0,0,0,10.5,female,S,2
33.0,0,0,7.775,male,S,3
6.0,0,1,33.0,female,S,2
17.0,1,0,7.0542,male,S,3
34.0,0,0,13.0,male,S,2
50.0,0,0,13.0,male,S,2
27.0,1,0,53.1,male,S,1
20.0,0,0,8.6625,male,S,3
30.0,3,0,21.0,female,S,2
25.0,1,0,26.0,male,S,2
25.0,1,0,7.925,female,S,3
29.0,0,0,211.3375,female,S,1
11.0,0,0,18.7875,male,C,3
23.0,0,0,13.0,male,S,2
23.0,0,0,13.0,male,S,2
28.5,0,0,16.1,male,S,3
48.0,1,3,34.375,female,S,3
35.0,0,0,512.3292,male,C,1
36.0,1,0,78.85,male,S,1
21.0,2,2,262.375,female,C,1
24.0,1,0,16.1,male,S,3
31.0,0,0,7.925,male,S,3
70.0,1,1,71.0,male,S,1
16.0,1,1,20.25,male,S,3
30.0,0,0,13.0,female,S,2
19.0,1,0,53.1,male,S,1
31.0,0,0,7.75,male,Q,3
4.0,1,1,23.0,female,S,2
6.0,0,1,12.475,male,S,3
33.0,0,0,9.5,male,S,3
23.0,0,0,7.8958,male,S,3
48.0,1,2,65.0,female,S,2
0.67,1,1,14.5,male,S,2
28.0,0,0,7.7958,male,S,3
18.0,0,0,11.5,male,S,2
34.0,0,0,8.05,male,S,3
33.0,0,0,86.5,female,S,1
41.0,0,0,7.125,male,S,3
20.0,0,0,7.2292,male,C,3
36.0,1,2,120.0,female,S,1
16.0,0,0,7.775,male,S,3
51.0,1,0,77.9583,female,S,1
30.5,0,0,7.75,female,Q,3
32.0,0,0,8.3625,male,S,3
24.0,0,0,9.5,male,S,3
48.0,0,0,7.8542,male,S,3
57.0,0,0,10.5,female,S,2
54.0,1,3,23.0,female,S,2
18.0,0,0,7.75,male,S,3
5.0,0,0,12.475,female,S,3
43.0,0,1,211.3375,female,S,1
13.0,0,0,7.2292,female,C,3
17.0,1,0,57.0,female,S,1
29.0,0,0,30.0,male,S,1
25.0,0,0,7.05,male,S,3
25.0,0,0,7.25,male,S,3
18.0,0,0,7.4958,female,S,3
8.0,4,1,29.125,male,Q,3
1.0,1,2,20.575,male,S,3
46.0,0,0,79.2,male,C,1
16.0,0,0,26.0,male,S,2
25.0,0,0,7.8958,male,S,3
39.0,0,0,13.0,male,S,2
49.0,0,0,25.9292,female,S,1
31.0,0,0,8.6833,female,S,3
30.0,0,0,7.2292,male,C,3
30.0,1,1,24.15,female,S,3
34.0,0,0,13.0,male,S,2
31.0,1,1,26.25,female,S,2
11.0,1,2,120.0,male,S,1
0.42,0,1,8.5167,male,C,3
27.0,0,0,6.975,male,S,3
31.0,0,0,7.775,male,S,3
39.0,0,0,0.0,male,S,1
18.0,0,0,7.775,female,S,3
39.0,0,0,13.0,male,S,2
33.0,1,0,53.1,female,S,1
26.0,0,0,7.8875,male,S,3
39.0,0,0,24.15,male,S,3
35.0,0,0,10.5,male,S,2
6.0,4,2,31.275,female,S,3
30.5,0,0,8.05,male,S,3
23.0,0,0,7.925,female,S,3
31.0,1,1,37.0042,male,C,2
43.0,0,0,6.45,male,S,3
10.0,3,2,27.9,male,S,3
52.0,1,1,93.5,female,S,1
27.0,0,0,8.6625,male,S,3
38.0,0,0,0.0,male,S,1
27.0,0,1,12.475,female,S,3
2.0,4,1,39.6875,male,S,3
1.0,0,2,37.0042,male,C,2
15.0,1,0,14.4542,female,C,3
0.83,1,1,18.75,male,S,2
23.0,0,0,7.8542,male,S,3
18.0,0,0,8.3,male,S,3
39.0,1,1,83.1583,female,C,1
21.0,0,0,8.6625,male,S,3
32.0,0,0,56.4958,male,S,3
20.0,0,0,7.925,male,S,3
16.0,0,0,10.5,male,S,2
30.0,0,0,31.0,female,C,1
34.5,0,0,6.4375,male,C,3
17.0,0,0,8.6625,male,S,3
42.0,0,0,7.55,male,S,3
35.0,0,0,7.8958,male,C,3
28.0,0,1,33.0,male,S,2
4.0,4,2,31.275,male,S,3
74.0,0,0,7.775,male,S,3
9.0,1,1,15.2458,female,C,3
16.0,0,1,39.4,female,S,1
44.0,1,0,26.0,female,S,2
18.0,0,1,9.35,female,S,3
45.0,1,1,164.8667,female,S,1
51.0,0,0,26.55,male,S,1
24.0,0,3,19.2583,female,C,3
41.0,2,0,14.1083,male,S,3
21.0,1,0,11.5,male,S,2
48.0,0,0,25.9292,female,S,1
24.0,0,0,13.0,male,S,2
42.0,0,0,13.0,female,S,2
27.0,1,0,13.8583,female,C,2
31.0,0,0,50.4958,male,S,1
4.0,1,1,11.1333,male,S,3
26.0,0,0,7.8958,male,S,3
47.0,1,1,52.5542,female,S,1
33.0,0,0,5.0,male,S,1
47.0,0,0,9.0,male,S,3
28.0,1,0,24.0,female,C,2
15.0,0,0,7.225,female,C,3
20.0,0,0,9.8458,male,S,3
19.0,0,0,7.8958,male,S,3
56.0,0,1,83.1583,female,C,1
25.0,0,1,26.0,female,S,2
33.0,0,0,7.8958,male,S,3
22.0,0,0,10.5167,female,S,3
28.0,0,0,10.5,male,S,2
25.0,0,0,7.05,male,S,3
39.0,0,5,29.125,female,Q,3
27.0,0,0,13.0,male,S,2
19.0,0,0,30.0,female,S,1
26.0,0,0,30.0,male,C,1
32.0,0,0,7.75,male,Q,3
